mot,fréquence
'Fantasy' ,391
'Romance' ,379
'Drama' ,255
'BL' ,132
'Action' ,124
of ,102
'Comedy' ,100
life' ,98
romance' ,80
'Slice ,68
bl' ,50
'LGBTQ ,46
comedy' ,44
Fantasy' ,44
lgbt' ,44
'Mystery' ,41
love' ,40
drama' ,40
gay' ,28
slice ,28
'Science ,28
fiction' ,28
'Horror' ,21
magic' ,20
'GL' ,19
queer' ,18
lesbian' ,16
gl' ,16
school' ,14
Action' ,14
supernatural' ,14
lgbtq' ,12
isekai' ,12
slowburn' ,10
adventure' ,10
mystery' ,10
harlequin' ,10
slow ,8
burn' ,8
friendship' ,8
thriller' ,8
wlw' ,8
comic' ,8
horror' ,8
yuri' ,8
harlequin ,8
'Gaming' ,7
Angst' ,6
demons' ,6
coming ,6
age' ,6
witch' ,6
boyslove' ,6
to ,6
lovers' ,6
mlm' ,6
mythology' ,6
boys ,6
yaoi' ,6
Reincarnation' ,6
scifi' ,6
medieval' ,6
angel' ,6
historical' ,6
sports' ,4
high ,4
crush' ,4
Crime' ,4
weekly' ,4
pining' ,4
height ,4
difference' ,4
polyamory' ,4
poly' ,4
lgbtqa' ,4
zombies' ,4
apocalypse' ,4
post ,4
relationship' ,4
manga' ,4
boys' ,4
triangle' ,4
d' ,4
anxiety' ,4
demon' ,4
homosexual' ,4
asexual' ,4
ace' ,4
fantasy ,4
the ,4
funny' ,4
mecha' ,4
enemies ,4
hamus' ,4
Elements' ,4
dragons' ,4
queer ,4
murder' ,4
webtoon' ,4
Neighbor' ,4
harem' ,4
witches' ,4
superheroes' ,4
Superhero' ,4
hero' ,4
periodic ,4
heroes' ,4
maid' ,4
King' ,4
new ,4
its ,4
complicated' ,4
ai' ,4
another ,4
world' ,4
ink ,4
stories' ,4
school ,4
angels' ,4
Revenge' ,4
short ,4
besties' ,4
death ,4
d ,3
soft' ,2
fluff' ,2
first ,2
Pure ,2
Babies' ,2
Soccer' ,2
Highschool' ,2
Pride' ,2
